#YYYYMMDD,hour,TDays,Precip_mm_Value,PressureSeaLevel,Temp,HumidityRelative,Clouds8th,WindDirection,WindSpeed_ms
*
19900423,19,112.7916667,0,1020,15.19999981,31,2,280,2.599999905
19900424,7,113.2916667,0,1022.5,5.199999809,82,1,250,0.5
19900424,13,113.5416667,,1021.599976,16.79999924,25,3,190,2.099999905
19900424,19,113.7916667,0,1020.599976,17,23,2,230,2.099999905
19900425,7,114.2916667,0,1022.599976,5.900000095,72,1,200,0.5
19900425,13,114.5416667,,1019.900024,16.79999924,26,1,200,4.099999905
19900425,19,114.7916667,0,1016.599976,15.10000038,27,2,210,3.599999905
19900426,7,115.2916667,0,1010.200012,8.399999619,80,8,210,3.099999905
19900426,13,115.5416667,,1004.799988,8.399999619,92,8,200,6.199999809
19900426,19,115.7916667,2.3,1001.799988,8.600000381,92,7,220,3.099999905
19900427,7,116.2916667,0,1002.799988,2.400000095,55,2,120,0.5
19900427,13,116.5416667,,1005.400024,8.699999809,28,7,30,5.099999905
19900427,19,116.7916667,0,1009.599976,9.699999809,24,6,10,5.699999809
19900428,7,117.2916667,0,1019.299988,2.200000048,48,1,220,0.5
19900428,13,117.5416667,,1017.400024,9.199999809,26,1,210,5.099999905
19900428,19,117.7916667,0,1016.200012,9.600000381,42,1,180,4.099999905
19900429,7,118.2916667,1.5,1015.200012,6,97,7,250,1
19900429,13,118.5416667,,1016.099976,8.800000191,80,7,250,1.5
19900429,19,118.7916667,0,1016,15.89999962,39,5,280,4.599999905
19900430,7,119.2916667,0,1018.900024,13.30000019,41,7,260,5.099999905
19900430,13,119.5416667,,1020.599976,18.39999962,29,4,270,5.699999809
19900430,19,119.7916667,0,1023.900024,16.5,34,6,280,1
19900501,7,120.2916667,0,1031.5,10.39999962,62,3,250,0.5
19900501,13,120.5416667,,1032.400024,21,26,1,210,3.099999905
19900501,19,120.7916667,0,1033.300049,22.60000038,22,0,230,1
19900502,7,121.2916667,0,1037.5,10.10000038,72,1,0,0
19900502,13,121.5416667,,1036.099976,21.89999962,29,0,200,3.599999905
19900502,19,121.7916667,0,1034.400024,19.79999924,28,0,190,2.599999905
19900503,7,122.2916667,0,1034.400024,8.899999619,81,0,230,0.5
19900503,13,122.5416667,,1031,22.10000038,27,0,220,2.099999905
19900503,19,122.7916667,0,1028.400024,21,26,0,220,1.5
19900504,7,123.2916667,0,1029.699951,12.89999962,46,0,200,1
19900504,13,123.5416667,,1027.699951,22.89999962,26,0,220,2.599999905
19900504,19,123.7916667,0,1022.700012,23.10000038,22,0,210,2.599999905
19900505,7,124.2916667,0,1020.599976,10.10000038,72,0,90,0.5
19900505,13,124.5416667,,1018.5,20.60000038,28,1,220,3.099999905
